nid	tags	Level And Grammar Point	Link	Connected Grammar Points from jlptsensei (optional)	Notes	construction	examplesentences	title audio	construction audio	examplesentences audio	regexpattern
1775895481035	minlong3 N1 secondfilter	1:敢えて【あえて】 (dare to; daringly; deliberately; purposely ~)	https://jlptsensei.com/learn-japanese-grammar/%e6%95%a2%e3%81%88%e3%81%a6-%e3%81%82%e3%81%88%e3%81%a6-aete-meaning/	Link Connection (2026-04-11 19:38)<br>[1:敢えて【あえて】 (dare to; daringly; deliberately; purposely ~)|nid1775895481035]<br>[1:案の定 (just as one thought; as usual; sure enough)|nid1775895481045]<br>[1:であれ/であろうと/ (whoever; whatever; however; even ~)|nid1775895481100]<br>[2:恐らく (perhaps; likely; probably; I dare say ~)|nid1775895481531]<br>[2:恐れがある (it is feared that; to be in danger of; to be liable to ~)|nid1775895481532]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>あえて</td><td rowspan=""2"">clause</td></tr><tr><td>敢えて</td></tr></tbody></table>"	"JP: 彼はあえて一人で行く気ですか。
EN: Dare he go alone?

JP: 私はあえて彼女に忠告した。
EN: I ran a risk of advising her.

JP: あえて彼の意見を支持した。
EN: I dared to support his opinion.

JP: 私は、あえて彼に電話をしない。
EN: I don't dare call him.

JP: その時彼女はあえて何も言わなかった。
EN: At that time, she didn't dare say anything.

JP: 正社員じゃなく、あえてアルバイトとして働く人も多いです。
EN: Many people dare to work part-time jobs instead work as a full-time employee.

JP: 私だったらそれを思いのまま言うようなことはあえてしない。
EN: If it were me, I wouldn't dare say it exactly as I think outright.

JP: 最近は、車じゃなくてあえて自転車で通勤する人が増えている。
EN: Lately, people who dare to commute by bicycles instead of cars are increasing."	[sound:title_1敢えてあえて_dare_to_daringly_delib_1.mp3]	[sound:grammar_1敢えてあえて_dare_to_daringly_delib_1.mp3]	[sound:examples_1敢えてあえて_dare_to_daringly_delib_1.mp3]	(?:あえて|敢えて)
1775895481037	N2 secondfilter SuddenActions	2:あげく (「subseq actions&nbsp;(contrast of expectation/realtity) (negative|unexpected|terminal result after long process) 」to end up; in the end; finally; after all ~)	https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%92%e3%81%8f-ageku-meaning/	Link Connection (2026-04-11 21:16)<br>[2:あげく (to end up; in the end; finally; after all ~)|nid1775895481037]<br>[1:始末だ (end up; in the end; as a result (negative))|nid1775895481570]<br>[1:を境に (since ~ (indicates a large change before &amp;amp; after))|nid1775895481517]<br>[1:羽目になる (to get stuck with; to end up with (something unpleasant))|nid1775895481151]<br>[2:末に (finally; after; following; at the end/ conclusion of ~)|nid1775895481593]<br>[2:次第 (as soon as, dependent upon)|nid1775895481564]<br>[2:やがて (before long; soon; almost; eventually ~)|nid1775895481785]<br>[3:結果 (as a result of; after ~)|nid1775895481230]<br>[3:たとたん (as soon as; just as ~)|nid1775895481606]<br>[3:ついに (finally; at last; in the end ~)|nid1775896028468]<br>[3:結局 (after all; eventually; in the end ~)|nid1775895481231]<br>[3:せいで (because of; due to; as a result of ~)|nid1775895481557]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (た form)</td><td rowspan=""2"">あげく（に）</td></tr><tr><td>Noun + の</td></tr></tbody></table>"	"JP: 2時間も待たされたあげく、結局に試合は延期になった。
EN: After waiting for 2 hours, the match ended up being postponed.

JP: 毎日の残業のあげく、彼女は倒れて入院することになりました。
EN: After working overtime everyday, she collapsed and was hospitalized.

JP: 人気のラーメン店に２時間も並んだあげく、売り切れで食べられなかった。
EN: After waiting at the popular ramen shop for 2 hours, they ended up sold out and I couldn't eat anything.

JP: どの大学に入ろうかと、さんざん悩んだあげく、京都大学に決めた。
EN: After thinking it over carefully about which university to enter, I decided on Kyoto University.

JP: 彼らは夫婦げんかを繰り返したあげく、とうとう離婚した。
EN: After fighting countless times, they finally got a divorce.

JP: 彼は、遅刻をくり返したあげく、店長に謝らなかったので、クビになった。
EN: After being late countless times, he did not appologize to the store manager and ended up getting fired.

JP: 弟は、勉強しないで遊んだあげくに、就職にも失敗してずっとバイト生活をして いる。
EN: After not studying and just goofing off all the time, my younger brother ended not getting a good job and has just been doing part-time work.

JP: 今日、店に来たお客さんは１時間も悩んだあげく、結局何も買わなかった。
EN: Today, a customer who came to the store and struggled for over an hour on what to buy, but in the end they didn't buy anything."	[sound:title_2あげく_to_end_up_in_the_end_fina_2.mp3]	[sound:grammar_2あげく_to_end_up_in_the_end_fina_2.mp3]	[sound:examples_2あげく_to_end_up_in_the_end_fina_2.mp3]	(?:あげく|挙句)
1775895481038	conceptverbs N3 secondfilter	3:上げる (to finish doing ~)	https://jlptsensei.com/learn-japanese-grammar/%e4%b8%8a%e3%81%92%e3%82%8b-ageru-meaning/	Link Connection (2026-04-11 19:39)<br>[3:上げる (to finish doing ~)|nid1775895481038]<br>[4:終わる (to finish; to end~)|nid1775895481533]<br>[3:たて (just done; freshly done; newly done)|nid1775895481627]<br>[4:てしまう/ちゃう/ (to do something by accident, to finish completely)|nid1775895481658]<br>[4:続ける (continue to; keen on ~)|nid1775896028470]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (ます stem) <s>ます</s></td><td>あげる<br/>あがる</td></tr></tbody></table>"	"JP: 彼女は小説を書き上げた。
EN: She finished writing her novel.

JP: この会社は新製品を作り上げた。
EN: This company has created a new product.

JP: みんなの意見を取り入れて、とてもいいプランが出来上がった。
EN: A very good plan was completed, incorporating the opinions of everyone

JP: 研究のレポートを一日で書き上げた。
EN: I wrote my research report in one day.

JP: 出来上がった料理を、お客さんのところに運ぶのが私の仕事です。
EN: It is my job to bring the finished food to the customer.

JP: 注文していた年賀状が刷り上がった。
EN: The new year's card I ordered was printed.

JP: この粉を練り上げると、おいしい和菓子になります。
EN: When this powder is kneaded, it becomes a delicious Japanese sweet.

JP: スパゲッティがゆで上がったら、素早くソースを絡めます。
EN: Once the spaghetti has been boiled, quickly mix the sauce."	[sound:title_3上げる_to_finish_doing_3.mp3]	[sound:grammar_3上げる_to_finish_doing_3.mp3]	[sound:examples_3上げる_to_finish_doing_3.mp3]	(?:あが(?:っている|らない|られる|ったら|れば|ろう|れる|る|り|った|って|らせる|らせられる)?|あげ(?:ている|られる|れば|よう|ない|たら|た|る|て|させる|させられる|ろ)?|上げ(?:られる|ている|れば|ない|たら|よう|た|る|て|させる|させられる|ろ)?|上げ|あげ|あがり)
1775895481039	conceptnouns N4 secondfilter while	4:間 (『while』 continuous state (A and B parallel for the whole duration)」while; during; between ~)	https://jlptsensei.com/learn-japanese-grammar/%e9%96%93-aida-meaning/	Link Connection (2026-04-11 19:40) [4:間 (while; during; between ~)|nid1775895481039] [4:間に (while; during~ something happened)|nid1775895481040] [3:中/ (currently; during; at some point; throughout; before the end of ~)|nid1775895481080] [4:ながら (while; during; as; simultaneously)|nid1775895481339] [4:の中で (in; among ~)|nid1775895481481] [3:しばらく (for a moment; for a while; for the time being)|nid1775895481563] [5:とき (when; at this time)|nid1775895481720]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""2"">間</td></tr><tr><td>Noun + の</td></tr></tbody></table>"	"JP: 昨日は、家にいる間、ずっとテレビを見ていました。
EN: Yesterday, while I was home I watched TV the entire time.

JP: 日本にいる間は、毎日日本語を話すつもりです。
EN: I plan to speak Japanese everyday while I am in Japan.

JP: サイクリングをしている間、ずっと雨が降っていました。
EN: It rained the entire time I was cycling.

JP: 食事の間、彼女と一緒に映画を見ました。
EN: While eating dinner, I watched a movie together with my girlfriend.

JP: 学校にいる間は、スマホを使ってはいけません。
EN: We can't use our smartphones while in school.

JP: バスに乗っている間、ずっと寝ていました。
EN: I slept the entire time I was on the bus.

JP: バスを待っている間、後ろのおばあさんと話をしていました。
EN: While waiting for the bus, I spoke to the elderly lady behind me.

JP: 日本にいる間は私の家に泊まって。
EN: You can stay at my house while you are in Japan.

JP: あなたがここにいる間は私がいろいろ案内してあげましょう。
EN: I'll show you around while you are here.

JP: この二人の間にどのような関係が生まれますか？
EN: What kind of relationship will develop between the two of them?"	[sound:title_4間_while_during_between_1.mp3]	[sound:grammar_4間_while_during_between_1.mp3]	[sound:examples_4間_while_during_between_1.mp3]	間
1775895481040	minlong3 N4 while	4:間に (『while』 punctual action B within a time span (of action A)」while; during~ something happened)	https://jlptsensei.com/learn-japanese-grammar/%e9%96%93%e3%81%ab-aida-ni-meaning/	Link Connection (2026-04-11 21:25)<br>[4:間に (while; during~ something happened)|nid1775895481040]<br>[4:間 (while; during; between ~)|nid1775895481039]<br>[5:のなかで[A]がいちばん (out of this group, [A] is best)|nid1775896028441]<br>[5:とき (when; at this time)|nid1775895481720]<br>[3:最中に (while; during; in the middle of ~)|nid1775895481545]<br>[3:中/ (currently; during; at some point; throughout; before the end of ~)|nid1775895481080]<br>[3:途中で/途中に/ (on the way; in the middle of ~)|nid1775895481718]<br>[3:一度に (all at once)|nid1775895481165]<br>[3:しばらく (for a moment; for a while; for the time being)|nid1775895481563]<br>[3:際に (when; at the time of; in the case of ~)|nid1775895481544]<br>[2:と同時に (at the same time as; while; simultaneously ~)|nid1775896028453]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual, non-past)</td><td rowspan=""4"">間に</td></tr><tr><td>Noun + の</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>"	"JP: 夜の間に火事が起こった。
EN: A fire broke out during the night.

JP: 知らない間に寝ていた。
EN: I fell asleep before I even realized it.

JP: 日本にいる間に、日本語が上手になりたいです。
EN: I want to get good at Japanese while I'm in Japan.

JP: 休みの間に漢字を200個覚えた。
EN: I memorized 200 kanji over the break.

JP: 先生がいない間にスマホを見ていた。
EN: I looked at my smartphone while the teacher was gone.

JP: 私が料理をしている間に電話がなった。
EN: The phone rang while I was cooking.

JP: 昨日、私は買い物をしている間に自転車が盗まれた。
EN: Yesterday my bicycle was stolen while I was doing some shopping.

JP: 夏休みの間に、復習しておいてくださいね。
EN: Please make sure to review over summer break.

JP: 電車を待っている間にこの雑誌でも読んでください。
EN: Please feel free to read this magazine while you are waiting on the train.

JP: 彼は手術を受けている間に死んだ。
EN: He died while undergoing surgery."	[sound:title_4間に_while_during_something_hap_5.mp3]	[sound:grammar_4間に_while_during_something_hap_5.mp3]	[sound:examples_4間に_while_during_something_hap_5.mp3]	(?:の|ない|む|ぐ|る|す|く|ぶ|ぬ|う|な|い)間に
1775895481041	mainfilter minlong3 minlong4 minlong5 N1	1:あくまでも (to the end; persistently; absolutely; is still very ~)	https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%8f%e3%81%be%e3%81%a7%e3%82%82-akumade-mo-meaning/	Link Connection (2026-04-11 19:00)<br>[1:あくまでも (to the end; persistently; absolutely; is still very ~)|nid1775895481041]<br>[1:でなくてなんだろう (must be; is definitely ~)|nid1775895481107]<br>[1:放題 (doing as one pleases; to one's heart's content; leaving uncontrolled)|nid1775895481162]<br>[1:の至り (utmost; extremely ~)|nid1775895481477]<br>[1:の極み (utmost; extremely ~)|nid1775895481478]<br>[1:ずには済まない/ないでは済まない/ (must; will definitely; can’t help but to ~)|nid1775895481823]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>あくまでも</td><td>clause</td></tr></tbody></table>"	"JP: 空はあくまでも青い。
EN: The sky is as blue as blue can be.

JP: 私はあくまでも彼女を見つけるつもりです。
EN: I will definitely find her.

JP: このスケジュールはあくまでも予定です。
EN: This schedule is still just a plan.

JP: 我々はあくまでも戦い抜く決心をした。
EN: We have made up our minds to fight it out.

JP: この仕事はあくまでも一時的で、永遠にここに働くつもりはない。
EN: This job is only temporary and I'm not going to work here forever.

JP: その男の子はあくまでも髪の毛を伸ばすことにこだわった。
EN: The boy persisted in wearing his hair long.

JP: あの商品は値上げても私にとってあくまでも安い。
EN: That item is still very cheap for me even if the price increases.

JP: 君がいくら笑っても、僕はあくまでも自分の案を固守します。
EN: No matter how much you laugh, I will carry out my plan to the end."	[sound:title_1あくまでも_to_the_end_persistently_6.mp3]	[sound:grammar_1あくまでも_to_the_end_persistently_6.mp3]	[sound:examples_1あくまでも_to_the_end_persistently_6.mp3]	あくまでも
1775895481042	minlong3 minlong4 N3	3:あまり (so much… that)	https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%be%e3%82%8a-amari-meaning/	Link Connection (2026-04-11 19:39)<br>[3:あまり (so much… that)|nid1775895481042]<br>[3:あまりにも (too much; so much… that; excessively ~)|nid1775895481043]<br>[4:あまり～ない~ (not very, not much ~)|nid1775895481044]<br>[5:だけ (only; just; as much as ~)|nid1775895481082]<br>[4:だけで (just by; just by doing)|nid1775895481085]<br>[5:すぎる (too much)|nid1775895481594]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""3"">あまり</td></tr><tr><td>Verb (casual, past)</td></tr><tr><td>Noun + の</td></tr></tbody></table>"	"JP: 嬉しさのあまり、彼女は涙を流しました。
EN: She was so happy that she cried.

JP: それのあまりの安さにおどろいた。
EN: I was shocked by how cheap it was.

JP: プレゼンのとき、緊張のあまり間違えてしまった。
EN: During my presentation I was so nervous that I ended up making a mistake.

JP: 怒りのあまり口がきけなかった。
EN: I was speechless with anger.

JP: 私は苦悩のあまり、病気になりました。
EN: I was so worried I became sick.

JP: 父は娘を心配するあまり、倒れてしまった。
EN: The father was so overcome with worry for his daughter that he collapsed.

JP: しばらくは心配のあまり、眠れない夜が続きました。
EN: I was so worried and unable to sleep for a while.

JP: 喜びのあまり、バンザイと叫びたい思いだった。
EN: I was so happy I wanted to scream with joy.

JP: そのファンはアイドルに会えた喜びのあまり、泣き出した。
EN: That fan was so overcome with joy from meeting their idol that they started bursting out crying."	[sound:title_3あまり_so_much_that_7.mp3]	[sound:grammar_3あまり_so_much_that_7.mp3]	[sound:examples_3あまり_so_much_that_7.mp3]	(?:の|た|(?:む|ぐ|る|す|く|ぶ|ぬ|う))あまり
1775895481043	minlong3 minlong4 N3	3:あまりにも (too much; so much… that; excessively ~)	https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%be%e3%82%8a%e3%81%ab%e3%82%82-amari-ni-mo-meaning/	Link Connection (2026-04-11 19:39) [3:あまりにも (too much; so much… that; excessively ~)|nid1775895481043] [3:あまり (so much… that)|nid1775895481042] [4:あまり～ない~ (not very, not much ~)|nid1775895481044] [5:だけ (only; just; as much as ~)|nid1775895481082] [3:なるべく (as much as possible)|nid1775895481378] [5:すぎる (too much)|nid1775895481594]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""3"">あまりに(も)</td><td>Verb</td></tr><tr><td>Adverb</td></tr><tr><td>Adjective</td></tr><tr><td>あまりの</td><td>Noun</td></tr></tbody></table>"	"JP: 最近あまりに暑すぎる。
EN: It's too hot recently..

JP: 彼はあまりにも変わった。
EN: He changed a lot.

JP: あまりにも天気が良い。
EN: The weather is excellent.

JP: あまりにも疲れているので仕事ができない。
EN: I am so tired that I cannot do my job.

JP: あなたは起きるのがあまりに遅すぎる。
EN: You wake up too late..

JP: 私はあまりに忙しすぎて、その映画が見られない。
EN: I am so busy that I cannot watch that movie.

JP: 私はこの作業にあまりにも時間がかかっている。
EN: This work is taking way too much time.

JP: あまりにも人数が多いので、彼に気付かなかった。
EN: There were so many people that I didn't even notice him."	[sound:title_3あまりにも_too_much_so_much_that_e_2.mp3]	[sound:grammar_3あまりにも_too_much_so_much_that_e_2.mp3]	[sound:examples_3あまりにも_too_much_so_much_that_e_2.mp3]	(?:あまりに|あまりの)
1775895481044	minlong3 minlong4 minlong5 N4	4:あまり～ない~ (not very, not much ~)	https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%be%e3%82%8a%ef%bd%9e%e3%81%aa%e3%81%84-amarinai-meaning/	Link Connection (2026-04-11 21:16)<br>[4:あまり～ない~ (not very, not much ~)|nid1775895481044]<br>[5:じゃない・ではない/ (to not be (am not; is not; are not))|nid1775895481189]<br>[5:ないで (without doing ~; to do [B] without doing [A])|nid1775895481348]<br>[4:はずがない (cannot be (impossible))|nid1775895481155]<br>[3:とても～ない~ (cannot possibly be; hardly ~)|nid1775895481742]<br>[3:あまり (so much… that)|nid1775895481042]<br>[3:別に～ない~ (not really, not particularly)|nid1775895481072]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""3"">あまり</td><td>い-adjective + <s>い</s>くない</td></tr><tr><td>な-adjective + <s>な</s>じゃない</td></tr><tr><td>Verb (ない form)</td></tr></tbody></table>"	"JP: 私はあまり運動しない。
EN: I don't really exercise.

JP: 日本語があまり分からない。
EN: I don't really understand Japanese.

JP: ホラー映画はあまり見ない。
EN: I don't really watch horror movies.

JP: 彼はあまり速く走ることができない。
EN: He can't run very fast.

JP: この文法があまり分かりません。教えてください。
EN: I don't understand this grammar very well, could you please explain it to me?

JP: この食べ物はあまり美味しくなかった。
EN: The food wasn't that great.

JP: 私はあまりテニスが上手ではない。
EN: I'm not very good at tennis.

JP: 冷たい飲み物があまり好きじゃありません。
EN: I don't really like cold beverages.

JP: 最近は忙しくて、友だちとあまり遊んでいません。
EN: I've been so busy lately that I've hardly seen my friends."	[sound:title_4あまりない_not_very_not_much_9.mp3]	[sound:grammar_4あまりない_not_very_not_much_9.mp3]	[sound:examples_4あまりない_not_very_not_much_9.mp3]	あまり(?:ない|くない|(?:な|い)?じゃない)
1775895481045	mainfilter minlong3 N1	1:案の定 (just as one thought; as usual; sure enough)	https://jlptsensei.com/learn-japanese-grammar/%e6%a1%88%e3%81%ae%e5%ae%9a-%e3%81%82%e3%82%93%e3%81%ae%e3%81%98%e3%82%87%e3%81%86-an-no-jou-meaning/	Link Connection (2026-04-11 19:38)<br>[1:案の定 (just as one thought; as usual; sure enough)|nid1775895481045]<br>[1:敢えて【あえて】 (dare to; daringly; deliberately; purposely ~)|nid1775895481035]<br>[2:だけあって (being the case; precisely because; as expected from ~)|nid1775895481084]<br>[2:だけのことはある (no wonder; as expected of; not ... for nothing; not ... with nothing to show for it)|nid1775895481089]<br>[1:ものと思われる/ものと見られる/ (to think; to suppose; it is believed/expected that ~)|nid1775895481323]<br>[1:としたことが (of all people, who would have thought?)|nid1775895481736]		"<table class=""table table-bordered table-sm usage""><tbody><tr><td>案の定</td><td>phrase</td></tr></tbody></table>"	"JP: 案の定、結果がよくないだ。
EN: As might be expected, the results are poor.

JP: 案の定、彼は第一位になった。
EN: As was to be expected, he took first place.

JP: あの堤防は、案の定今回の台風で決壊してしまった。
EN: Just as we thought, that embankment collapsed because of the typhoon.

JP: 急行は案の定混んでいて席がなかった。
EN: Just as I had feared, the express train was very crowded and I couldn't get a seat.

JP: 案の定、レポートの提出の締め切りに間に合わなかった。
EN: Sure enough, I missed the deadline for submitting the report.

JP: あの二人はけんかばかりしていて、案の定離婚した。
EN: Those two were arguing all the time and as expected, they got divorced.

JP: 私の決意を家族に告げると,案の定皆さんがびっくりした。
EN: When I told my family about my determination, as expected everyone was surprised."	[sound:title_1案の定_just_as_one_thought_as_us_10.mp3]	[s@und:grammar_1案の定_just_as_one_thought_as_us_10.mp3]	[sound:examples_1案の定_just_as_one_thought_as_us_10.mp3]	案の定
